@relation dataset_c1_b

@attribute UserGenere {0,1}
@attribute UserAge {0,1,2}
@attribute UserExperience {0,1}
@attribute UserGlassesUse {0,1}
@attribute UserVisionProblems {0,1,2,3,4,5}
@attribute UserEyeDominance {0,1}
@attribute RegionOfInterest {0,1,2}
@attribute TimeStamp numeric
@attribute PlayerSpeed numeric
@attribute PlayerAcceleration numeric
@attribute CameraRotationX numeric
@attribute CameraRotationY numeric
@attribute CameraRotationZ numeric
@attribute PlayerPositionX numeric
@attribute PlayerPositionY numeric
@attribute PlayerPositionZ numeric
@attribute GameFps numeric
@attribute DiscomfortLevel {0,1}

@data
0,0,0,0,0,0,0,248.9957,1,-4,0.018501,0.222927,0.044196,-144.2058,6.630148,-108.0585,90,1
0,0,0,0,0,0,0,249.9943,9,8,0.020069,0.203848,0.04613,-144.8586,6.669461,-107.765,90,1
0,0,0,0,0,0,0,250.9944,8,-1,0.022172,0.192692,0.055762,-146.9466,6.839133,-106.5731,90,1
0,0,0,0,0,0,0,251.9948,9,1,0.020988,0.200744,0.057501,-147.1848,6.863834,-106.4253,90,1
0,0,0,0,0,0,0,252.9941,4,-5,0.022936,0.204308,0.051849,-146.2334,6.794939,-106.804,90,1
0,0,0,0,0,0,0,253.9945,3,-1,0.023166,0.186954,0.055023,-145.4398,6.728363,-107.3,90,1
0,0,0,0,0,0,0,254.9945,2,-1,0.024813,0.171541,0.057921,-144.8448,6.676353,-107.705,90,1
0,0,0,0,0,0,0,255.995,8,6,0.026683,0.176616,0.059172,-145.1897,6.686063,-107.6591,90,1
0,0,0,0,0,0,0,256.9954,9,1,0.026883,0.216305,0.05472,-146.7786,6.767368,-107.1763,90,1
0,0,0,0,0,0,0,257.9954,10,1,0.02786,0.254119,0.048509,-145.8298,6.710609,-107.5205,90,1
0,0,0,0,0,0,1,258.9947,11,1,0.018966,0.274809,0.048004,-142.5914,6.527836,-108.8352,90,1
0,0,0,0,0,0,1,259.9962,5,-6,0.01394,0.330576,0.040422,-140.5995,6.436853,-109.5806,90,1
0,0,0,0,0,0,1,260.9958,2,-3,0.021613,0.260233,0.045473,-139.7389,6.418122,-109.7043,90,1
0,0,0,0,0,0,1,261.9972,8,6,0.026061,0.259838,0.046866,-140.1,6.413488,-109.7943,88,1
0,0,0,0,0,0,1,262.998,3,-5,0.027515,0.283892,0.047393,-141.5208,6.429476,-109.7862,90,1
0,0,0,0,0,0,1,263.9974,1,-2,0.026221,0.279972,0.046483,-141.9526,6.432913,-109.807,90,1
0,0,0,0,0,0,1,264.9976,6,5,0.027356,0.277621,0.046718,-141.5791,6.419618,-109.904,90,1
0,0,0,0,0,0,1,265.9971,13,7,0.020655,0.287558,0.048103,-138.8547,6.351302,-110.4372,90,1
0,0,0,0,0,0,1,266.9977,15,2,0.005485,0.304001,0.04774,-134.9099,6.302958,-111.0139,90,1
0,0,0,0,0,0,1,267.9981,5,-10,0.005004,0.354579,0.032012,-133.0652,6.295343,-111.6681,88,1
0,0,0,0,0,0,1,268.9977,24,19,0.023229,0.337264,0.030177,-137.0922,6.235019,-112.1116,90,1
0,0,0,0,0,0,1,269.998,10,-14,0.045404,0.17836,0.039365,-141.8051,6.266054,-111.7119,90,1
0,0,0,0,0,0,1,270.9981,16,6,0.05985,0.001655,0.049559,-144.2527,6.410027,-110.3034,90,1
0,0,0,0,0,0,1,271.9973,7,-9,0.066603,-0.073402,0.056254,-146.7502,6.746083,-107.4382,90,1
0,0,0,0,0,0,1,272.9978,5,-2,0.084943,-0.114282,0.024932,-146.5946,6.732492,-107.4517,90,1
0,0,0,0,0,0,2,273.9975,6,1,0.081425,-0.265206,0.036482,-147.5388,6.952283,-105.7262,90,1
0,0,0,0,0,0,2,274.9981,14,8,0.067621,-0.483316,0.043676,-147.6118,7.247373,-103.2331,90,1
0,0,0,0,0,0,2,275.9986,14,0,0.066977,-0.58516,0.087501,-147.0061,7.574548,-100.4012,90,1
0,0,0,0,0,0,2,276.9987,8,-6,0.071996,-0.624024,0.086382,-145.6429,7.897373,-97.54932,90,1
0,0,0,0,0,0,2,277.9982,20,12,0.074841,-0.660177,0.095686,-143.8335,8.377373,-93.66242,90,1
0,0,0,0,0,0,1,278.9988,27,7,0.07675,-0.786776,0.097354,-139.1711,9.095455,-88.21383,90,1
0,0,0,0,0,0,2,279.9991,12,-15,0.104051,-0.710904,0.0878,-133.9101,9.487309,-85.62178,90,1
0,0,0,0,0,0,2,280.9967,19,7,0.093984,-0.671068,0.083682,-131.5482,9.931126,-83.11327,90,1
0,0,0,0,0,0,2,281.9972,33,14,0.069173,-0.700659,0.096091,-126.479,10.72971,-78.1887,90,1
0,0,0,0,0,0,2,282.9969,30,-3,0.042554,-0.897565,0.079511,-117.6738,10.88409,-75.89988,90,1
0,0,0,0,0,0,2,283.9963,11,-19,0.049625,-0.760547,0.097968,-112.678,10.89334,-74.71117,90,1
0,0,0,0,0,0,0,284.9965,4,-7,-0.131674,-0.609879,0.138575,-110.8799,10.9164,-74.00525,90,1
0,0,0,0,0,0,0,285.9962,1,-3,-0.182337,-0.558628,0.085081,-110.2344,10.91565,-73.82426,90,1
0,0,0,0,0,0,0,287.0023,0,-1,-0.574302,-0.295748,0.168465,-110.0775,10.91467,-73.78807,70,1
1,1,0,0,0,0,0,0,0,0,-0.079918,-0.036822,-0.027151,-59.98978,8.563305,-66.94212,90,0
1,1,0,0,0,0,1,1.008357,0,0,-0.117604,-0.182095,-0.006385,-60.0384,8.56057,-66.94463,90,0
1,1,0,0,0,0,0,2.00824,0,0,-0.151981,-0.382031,0.031781,-60.03866,8.560585,-66.94463,90,0
1,1,0,0,0,0,0,3.008948,0,0,0.016594,-0.668528,0.076156,-60.03885,8.560572,-66.94463,90,0
1,1,0,0,0,0,0,3.999748,0,0,-0.195261,-0.233368,0.036919,-60.03904,8.560557,-66.94463,90,0
1,1,0,0,0,0,0,4.999649,0,0,-0.126455,-0.201262,0.014919,-60.03923,8.560543,-66.94463,90,0
1,1,0,0,0,0,0,6.000401,3,3,-0.112891,-0.224053,0.026879,-60.07113,8.564405,-67.00444,90,0
1,1,0,0,0,0,1,6.999671,21,18,-0.110495,-0.222523,0.022034,-60.37023,8.196169,-64.01583,90,0
1,1,0,0,0,0,1,8.000978,42,21,-0.127752,-0.279275,0.013618,-59.67077,7.015272,-55.3871,90,0
1,1,0,0,0,0,0,9.002599,64,22,-0.134849,-0.091935,-0.006658,-59.28196,4.413663,-40.94977,90,0
1,1,0,0,0,0,0,10.0028,83,19,-0.068855,0.108186,-0.048349,-63.79036,1.780455,-21.0669,90,0
1,1,0,0,0,0,1,11.00139,97,14,-0.03485,0.699677,-0.03418,-82.64121,1.067011,-7.055817,90,0
1,1,0,0,0,0,1,12.00211,109,12,0.013989,0.956891,-0.067559,-107.662,1.406123,-19.47828,90,0
1,1,0,0,0,0,0,13.00259,120,11,-0.042796,0.995353,-0.075761,-109.4427,1.750652,-50.43512,90,0
1,1,0,0,0,0,0,14.00278,131,11,-0.079361,0.993895,-0.069272,-100.4291,2.509199,-83.93681,90,0
1,1,0,0,0,0,0,15.00179,138,7,-0.074798,0.805196,-0.035971,-101.224,4.144564,-118.6291,90,0
1,1,0,0,0,0,0,16.00156,145,7,-0.065448,0.121663,-0.015854,-135.9659,5.30221,-124.8558,90,0
1,1,0,0,0,0,0,17.0027,145,0,0.006293,-0.619805,0.114419,-135.942,8.573954,-91.41705,90,0
1,1,0,0,0,0,0,18.00079,69,-76,-0.024547,-0.806311,0.141164,-110.3185,10.38439,-78.73833,90,0
1,1,0,0,0,0,0,19.00123,21,-48,-0.018905,-0.898203,0.148897,-105.2017,11.32114,-67.53632,90,0
1,1,0,0,0,0,0,20.00084,1,-20,-0.0236,-0.930736,0.150738,-104.4719,11.38043,-66.50018,90,0
1,1,0,0,0,0,0,21.00071,8,7,-0.023986,-0.944044,0.128416,-105.404,11.51098,-65.36861,90,0
1,1,0,0,0,0,0,22.00156,10,2,-0.033113,-0.880938,0.125702,-107.5788,11.75617,-63.64793,90,0
1,1,0,0,0,0,0,23.00053,18,8,-0.033483,-0.851513,0.120823,-105.5089,11.56826,-64.69608,90,0
1,1,0,0,0,0,0,24.00102,21,3,-0.043932,-0.753943,0.113209,-99.7483,11.22827,-65.8737,90,0
1,1,0,0,0,0,0,25.00209,15,-6,-0.043927,-0.614652,0.110558,-93.79264,11.05784,-64.73416,90,0
1,1,0,0,0,0,0,26.0016,27,12,-0.056804,-0.518276,0.10741,-88.69277,11.01731,-61.99418,90,0
1,1,0,0,0,0,0,27.00249,29,2,-0.063908,-0.530671,0.104917,-83.53967,11.01407,-58.03449,90,0
1,1,0,0,0,0,0,28.0012,47,18,-0.076878,-0.514892,0.087578,-75.09792,10.92857,-51.61854,90,0
1,1,0,0,0,0,0,29.00121,63,16,-0.068738,-0.524049,0.095644,-64.68201,10.77325,-40.4251,90,0
1,1,0,0,0,0,0,30.00123,79,16,-0.062192,-0.630229,0.090575,-49.55476,10.35315,-27.87368,90,0
1,1,0,0,0,0,0,31.00164,71,-8,-0.070441,-0.707643,0.120419,-29.79975,9.845554,-15.92342,90,0
1,1,0,0,0,0,0,32.00216,39,-32,-0.074201,-0.867847,0.107904,-17.42074,8.832035,-11.6977,90,0
1,1,0,0,0,0,0,33.00088,58,19,-0.031507,-0.950384,0.07589,-3.980432,7.479612,-11.95735,90,0
1,1,0,0,0,0,0,34.00269,75,17,0.008782,-0.99571,0.058026,11.24713,6.577612,-22.3552,90,0
1,1,0,0,0,0,0,35.00294,88,13,0.032386,-0.969338,0.052228,19.76932,7.187527,-42.46598,90,0
1,1,0,0,0,0,0,36.00311,99,11,0.057425,-0.967606,0.053799,20.3331,8.668592,-68.43716,90,0
1,1,0,0,0,0,0,37.00309,109,10,0.074033,-0.939802,0.056571,13.65862,10.09308,-96.37423,90,0
1,1,0,0,0,0,0,38.00405,118,9,0.085457,-0.857539,0.019982,8.179152,11.48519,-127.477,90,0
1,1,0,0,0,0,0,39.00333,127,9,0.117262,-0.615997,-0.006885,-20.56316,13.19441,-143.5051,90,0
1,1,0,0,0,0,0,40.00485,52,-75,0.145756,-0.336756,-0.020626,-43.22118,12.54311,-144.6341,90,0
1,1,0,0,0,0,0,41.00397,64,12,0.104647,-0.072851,-0.044616,-54.45714,11.82532,-134.0602,90,0
1,1,0,0,0,0,0,42.00266,80,16,0.096098,0.161057,-0.028948,-60.0086,10.98811,-115.0907,90,0
1,1,0,0,0,0,0,43.00225,96,16,0.105243,0.187906,-0.02016,-59.53443,10.18584,-90.57668,90,0
1,1,0,0,0,0,0,44.00298,86,-10,0.154828,0.15273,-0.005809,-58.97486,8.169447,-63.01978,90,0
1,1,0,0,0,0,0,45.00437,82,-4,0.155346,0.109669,0.016993,-60.29179,4.617912,-42.57297,90,0
1,1,0,0,0,0,0,46.00364,63,-19,0.083242,-0.074803,0.065526,-64.34255,1.698491,-20.36959,90,0
1,1,0,0,0,0,0,47.00359,35,-28,0.079166,-0.451931,0.041339,-70.95079,1.178117,-11.09789,90,0
